项目名称,核心定位 / 主要内容,核心功能,智能体设计特点,用到的工具,是否使用 RAG 工具,是否使用 Memory 工具
EXAMPLE-ProjectTemplate,共创项目标准模板，定义目录结构、文档规范,提供标准化项目范式、技术栈说明模板、README 编写规范,无业务智能体，仅提供 Agent 项目开发通用框架,无,否,否
Apricity-InnocoreAI,学术研究全流程智能辅助系统,文献检索 / 监控、论文深度分析、写作辅助、引用格式校验,多智能体分工：Hunter（文献）、Miner（分析）、Coach（写作）、Validator（引用）,学术文献检索 API、PDF 解析工具、引用格式校验工具,是（学术知识库检索）,否（无独立记忆工具，依赖会话上下文）
jjyaoao-CodeReviewAgent,自动化代码审查助手,代码语法检查、规范校验、问题定位、生成审查报告,单智能体 + 自定义审查工具，无记忆逻辑,静态代码分析工具、代码规范检查工具,否,否
chen070808-ProgrammingTutor,面向编程学习者的智能辅导工具,编程问题解答、学习路径规划、代码调试指导、知识点讲解,单智能体适配多语言教学，无自定义记忆,代码执行环境、编程知识库,是（编程知识库检索）,否（依赖大模型上下文）
1zrj-DataAnalysisAgent,通用智能数据分析助手,数据清洗、指标计算、趋势分析、可视化报告生成,单智能体 + 数据分析工具链，无记忆设计,Pandas、Matplotlib、数据清洗工具,否,否
haoye2-UniversalAgent,多场景适配的通用智能体框架,多任务适配、跨场景协作、自定义工具集成,通用核心智能体，可扩展适配不同场景,可插拔式工具接口（支持自定义工具集成）,否（可扩展支持）,否（可扩展支持）
YYHDBL-HelloCodeAgentCli,命令行式代码辅助智能体,代码生成、调试、执行、上下文交互,CLI 交互型代码智能体，依赖终端会话上下文,终端命令执行工具、代码补全工具,否,否（依赖终端会话上下文）
Yixiang-Wu-LearningAgent,个性化学习辅导智能体,学习路径规划、知识点讲解、习题解答,单智能体适配多学科，无记忆设计,学习知识库、习题生成工具,是（学习知识库检索）,否
alexrunner-DataAnalysisAgent,电商场景专属数据分析智能体,销售数据清洗、用户行为分析、趋势预测、可视化报告,单智能体 + 电商数据模板，无记忆设计,电商数据 API、数据可视化工具,否,否
allen2000-FashionDailyDress,时尚穿搭推荐智能体,风格分析、场景化穿搭建议、流行趋势预测,单智能体 + 时尚知识库，无记忆设计,时尚图库 API、风格识别工具,是（时尚知识库检索）,否
bichchibui5-hub-EmailSmartAssistant,智能邮箱管理助手,邮件分类、优先级排序、自动回复、附件解析,单智能体 + 邮箱协议适配，无记忆设计,邮件协议客户端、附件解析工具,否,否
jack6249-GiftGeniusAgent,个性化礼物推荐智能体,兴趣分析、预算匹配、礼物推荐、购物链接生成,单智能体 + 礼物知识库，无记忆设计,电商商品 API、推荐算法工具,是（礼物知识库检索）,否
kkkano-FinReportAgent,金融财报分析智能体,财报解析、指标计算、风险评估、投资建议,单智能体 + 金融指标库，无记忆设计,财报解析工具、金融数据 API,是（金融知识库检索）,否
laoyouf-aistory,AI 故事创作智能体,故事生成、角色塑造、情节编排,单智能体 + 创作模板，无记忆设计,文本生成工具、角色设定模板,否,否
lgs-only-NovelGenerator,长篇小说生成智能体,世界观构建、角色设定、章节生成、剧情一致性维护,单智能体 + 剧情状态追踪，无独立记忆工具,文本生成工具、剧情状态管理工具,否,否（仅临时状态存储，无独立记忆工具）
lh2021739-pixel-Personal_Information_Signaling_System,个人信息安全管理系统,信息采集、隐私保护、数据流转管理,信息管理智能体，无记忆设计,数据加密工具、隐私合规工具,否,否
lll0807-CodeTutorAgent/programmer,编程辅导智能体,代码生成、错误诊断、优化建议,单智能体 + 内嵌记忆逻辑（无独立工具）,代码执行环境、编程知识库,是（编程知识库检索）,否（内嵌记忆逻辑，无独立 Memory 工具）
megg-ops-roleplay_agent,角色扮演智能体,角色塑造、场景交互、剧情推进,单智能体 + 场景模板，无记忆设计,角色设定模板、场景交互工具,否,否
melxy1997-ColumnWriter,专栏写作智能体,选题策划、内容生成、编辑优化,多智能体协作（策划 / 写作 / 评审），无记忆,选题分析工具、文本编辑工具,是（选题知识库检索）,否
pamdla-MindEchoAgent,心智交互智能体,情感分析、对话理解、个性化响应,单智能体 + 内嵌情感记忆（无独立工具）,情感分析工具、对话理解工具,否,否（内嵌情感记忆，无独立 Memory 工具）
